Bloomberg Corporate Action Calendar - CACT<GO>,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Action Type,Security ID,Announce/Declared Date,Effective Date,Amd Flag,Summary,Summary,Summary,Summary,Summary,Summary
Spin-off,ECJ TH Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
Spin-off,0IFAL PO Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
Spin-off,ECJ GR Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
Spin-off,ECJ SW Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
Spin-off,ECLUSD EU Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
Spin-off,ECL* MM Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
Spin-off,0IFAL L3 Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
Spin-off,ECLGBP EU Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
Spin-off,ECLUSD EO Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
Spin-off,ECLGBP EO Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
Spin-off,0IFAL B3 Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
